#OTU ID	ERR505083	ERR505084	ERR505085	ERR505086	ERR505087	ERR505088	ERR505089	ERR505090	ERR505091	ERR505092	ERR505093	ERR505094	ERR505095	ERR505096	ERR505097	ERR505098	ERR505099	ERR505100	ERR505101	ERR505102	ERR505103	ERR505104	ERR505105	ERR505106	ERR671910	ERR671913	ERR671914	ERR671915	ERR671916	ERR671917	ERR671923	ERR671925	ERR671929	ERR671930	ERR671931	ERR671932	ERR671934	ERR671935	ERR671936	ERR671939	ERR687883	ERR687885	ERR687887	ERR687890	ERR687892	ERR687895	ERR687896	ERR687897	SRR1950687	SRR1950688	SRR1950689	SRR1950694	SRR1950695	SRR1950701	SRR1950711	SRR1950716	SRR1950717	SRR1950724	SRR1950729	SRR1950730	SRR1950731	SRR1950736	SRR1950744	SRR1950747	SRR1950748	SRR1950749	SRR1950758	SRR1950762	SRR1950768	SRR1950769	SRR1950776	SRR1950777	SRR6853342	SRR6853343	SRR6853344	SRR6853345	SRR6853346	SRR6853347	SRR6853348	SRR6853349	SRR6853350	SRR6853351	SRR6853352	SRR6853353	SRR6853354	SRR6853355	SRR6853356	SRR6853357	SRR6853358	SRR6853359	SRR6853360	SRR6853361	SRR6853362	SRR6853363	SRR6853364	SRR6853365	SRR6853366	SRR6853367	SRR6853368	SRR6853369	SRR6853370	SRR6853371	SRR6853372	SRR6853373	SRR6853374	SRR6853375	SRR6853376	SRR6853377	SRR6853378	SRR6853379	SRR6853380	SRR6853381	SRR6853382	SRR6853383
Nakaseomyces bacillisporus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nakaseomyces delphensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	3	2	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	0	5	1	0	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Candida] castellii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Candida] glabrata	10	22	8	6	0	5	1	0	7	45	3	0	2	0	3	0	2	3	3	16	8	0	10	72	62	57	50	43	42	55	96	52	66	52	49	51	59	74	44	61	80	54	55	52	63	45	40	67	6	0	11	0	9	10	20	7	17	18	13	6	4	21	38	20	20	11	15	3	2	15	6	6	0	0	3	0	3	0	0	7	9	15	17	3	4	4	0	0	0	0	0	5	1	14	20	2	12	1	1	1	2	1	0	4	3	11	9	1	1	0	3	16	4	2
Naumovozyma castellii	8	34	4	6	2	5	4	1	1	2	0	3	2	1	5	6	5	2	7	11	0	0	1	7	45	33	57	62	44	57	73	57	77	39	54	59	48	58	50	63	59	60	42	45	67	53	51	36	7	0	13	0	17	21	24	10	10	38	11	2	4	23	18	21	20	10	25	4	19	13	18	9	0	0	0	3	7	0	0	2	1	3	16	5	1	0	0	0	0	0	0	10	4	3	15	4	16	0	4	0	0	2	1	0	7	3	0	2	0	0	0	9	0	0
Naumovozyma dairenensis	3	10	8	3	4	1	3	0	0	0	3	13	5	0	4	4	2	4	2	13	14	20	3	2	49	27	41	35	41	34	54	45	66	40	40	46	58	44	42	54	48	49	38	31	60	21	36	46	6	0	23	0	24	25	19	15	23	39	7	9	6	36	32	25	33	18	19	13	23	10	34	10	5	0	4	1	0	0	0	1	6	6	39	5	3	0	1	0	0	0	0	12	1	7	28	2	12	1	4	0	0	2	1	0	4	2	1	0	0	0	1	11	0	0
Pachysolen tannophilus	10	27	6	16	3	0	4	9	0	10	4	5	4	1	2	10	5	16	2	7	10	3	12	11	54	54	65	58	42	58	84	64	90	71	61	73	75	77	67	74	83	69	66	52	72	43	57	75	13	0	18	0	22	42	43	19	19	74	25	6	16	40	39	18	35	33	17	12	13	15	9	13	6	3	4	7	10	2	0	51	4	74	83	20	41	0	0	0	0	1	1	67	12	9	57	10	63	1	5	1	0	2	7	2	23	1	1	0	1	1	0	63	3	113
Saccharomyces arboricola	6	8	10	11	2	5	2	3	0	1	1	4	0	0	2	2	2	6	1	4	3	1	1	20	28	11	18	12	16	15	30	10	19	11	13	13	18	20	25	29	18	17	13	12	17	11	10	28	6	0	4	0	7	5	2	2	12	7	4	1	3	3	9	13	14	9	7	7	9	6	5	4	0	0	1	1	0	1	0	1	1	4	2	1	0	0	0	0	0	0	0	3	0	0	1	7	5	0	2	0	0	1	0	0	1	1	0	0	0	1	0	15	1	1
Saccharomyces bayanus x Saccharomyces uvarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomyces bayanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomyces cariocanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomyces cerevisiae x Saccharomyces kudriavzevii	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	7	0	0	0	2	1	0	0	0	13	7	2	9	11	10	16	11	12	9	9	11	6	5	7	12	12	7	6	7	7	9	6	10	0	0	2	0	0	0	1	0	4	3	1	1	1	3	1	2	0	2	2	1	0	2	5	2	1	0	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	2	4	0	3	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	1	0
Saccharomyces cerevisiae	23	13	13	5	1	8	7	2	15	69	10	2	27	28	9	6	33	19	26	36	109	11	23	37	42	44	40	33	36	45	50	36	57	31	40	46	52	43	51	46	51	42	53	43	52	26	26	39	25	6	28	0	34	53	39	24	80	76	26	11	13	47	41	62	58	56	37	23	7	30	54	25	118	9	7	204	438	312	11	1565	4	4344	662	282	130	1	0	1	4	41	1	2906	421	178	885	257	2462	12	53	19	1	6	2	79	516	7	3	3	0	86	8	1940	2	4851
Saccharomyces eubayanus	2	7	2	1	0	5	1	0	1	3	1	1	0	0	0	1	0	2	0	5	1	1	0	12	26	27	28	9	22	21	28	25	34	26	28	29	34	26	24	41	32	40	22	10	41	23	22	30	7	0	15	0	8	5	11	4	12	7	3	1	2	6	10	15	8	4	14	6	2	17	5	7	2	0	1	1	0	0	0	1	2	1	9	0	0	0	0	0	0	0	0	7	1	0	9	2	5	2	1	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0
Saccharomyces kudriavzevii	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	2	7	9	5	4	7	4	6	3	1	11	6	6	5	5	7	0	4	8	5	3	6	1	0	1	0	0	2	2	1	0	0	2	0	2	0	0	1	4	0	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	6	0	0	2	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	5
Saccharomyces mikatae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomyces paradoxus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	1	1	1	2	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomyces pastorianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomyces sp. 'boulardii'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
